Record,A,B,C,Z
1,29,24,28,1
2,27,33,46,1
3,3,40,32,0
4,40,8,49,0
5,14,48,3,0
6,21,13,22,0
7,8,21,42,0
8,20,18,26,1
9,38,2,39,0
10,43,47,45,0
11,22,20,17,0
12,18,25,41,0
13,26,35,2,0
14,4,34,27,0
15,35,1,35,1
16,23,43,9,0
17,9,5,20,0
18,30,37,19,0
19,42,42,36,0
20,16,14,4,0
21,46,28,14,1
22,44,4,12,0
23,28,36,16,0
24,37,29,10,1
25,19,15,23,0
26,32,44,37,0
27,15,27,43,0
28,39,10,11,0
29,49,45,6,0
30,50,17,33,0
31,24,49,15,0
32,12,32,31,1
33,1,50,24,0
34,47,7,34,1
35,36,22,30,0
36,34,31,44,0
37,45,6,18,0
38,6,23,13,0
39,25,11,25,0
40,33,46,50,0
41,48,9,7,0
42,31,26,29,0
43,13,16,1,0
44,10,19,5,0
45,2,39,8,0
46,41,3,21,0
47,7,41,40,1
48,17,38,47,0
49,5,30,38,1
50,11,12,48,0
