> training
   Record  A  B  C Z
1       1 29 24 28 1
4       4 40  8 49 0
7       7  8 21 42 0
8       8 20 18 26 1
10     10 43 47 45 0
11     11 22 20 17 0
12     12 18 25 41 0
24     24 37 29 10 1
25     25 19 15 23 0
26     26 32 44 37 0
31     31 24 49 15 0
32     32 12 32 31 1
36     36 34 31 44 0
37     37 45  6 18 0
38     38  6 23 13 0
39     39 25 11 25 0
40     40 33 46 50 0
41     41 48  9  7 0
42     42 31 26 29 0
43     43 13 16  1 0
44     44 10 19  5 0
45     45  2 39  8 0
46     46 41  3 21 0
48     48 17 38 47 0
49     49  5 30 38 1

> validation
   Record  A  B  C Z
2       2 27 33 46 1
3       3  3 40 32 0
5       5 14 48  3 0
13     13 26 35  2 0
14     14  4 34 27 0
15     15 35  1 35 1
16     16 23 43  9 0
17     17  9  5 20 0
18     18 30 37 19 0
20     20 16 14  4 0
28     28 39 10 11 0
30     30 50 17 33 0
34     34 47  7 34 1
35     35 36 22 30 0
50     50 11 12 48 0

> test
   Record  A  B  C Z
6       6 21 13 22 0
9       9 38  2 39 0
19     19 42 42 36 0
21     21 46 28 14 1
22     22 44  4 12 0
23     23 28 36 16 0
27     27 15 27 43 0
29     29 49 45  6 0
33     33  1 50 24 0
47     47  7 41 40 1

50% training, 30% validation, 20% test 
